CC_diff,assists_diff,baronKills,damageDealtToObjectives,damage_per_death,deaths,dragonKills_diff,goldSpent,kills,totalDamageDealtToChampions,totalHeal,totalMinionsKilled,towerKills_diff,visionScore_diff,win,won?
-10.4,-1.92,-0.09439124487004104,731.4799999999998,-223.73473726273915,-1.2808937528499769,-0.8,-1439.027359781121,0.5599999999999987,-4483.249886000913,1814.8799999999987,-9.769265845873235,-1.8,-11.32,0.03999999999999987,True
-4.08,-4.68,-0.5024390243902439,234.71666666666806,27.700728021978193,0.462872628726287,-0.24,-2587.844444444445,0.5999999999999996,-4629.650948509485,105.8166666666666,30.466124661246624,-0.2,-8.84,-0.06666666666666671,True
10.64,2.64,-0.01610017889087656,-2729.4249999999997,-482.58352238039606,-3.07334525939177,0.32,-1425.4561717352408,-2.2749999999999995,-1682.2379248658326,1654.625,-17.22540250447227,0.88,5.88,-0.050000000000000044,True
-7.4,-7.16,-0.0013860013860013884,-1479.1904761904761,-784.1319871678274,2.2522522522522532,0.24,-1932.3672903672905,1.9428571428571422,-6960.23562023562,2212.47619047619,-10.073458073458077,-0.56,0.68,-0.15238095238095245,False
9.16,2.88,0.05701754385964912,1985.55,1063.1188878713883,-1.2017543859649118,-0.56,-55.866228070175566,0.35000000000000053,-2676.7785087719312,1482.5,-30.07675438596491,0.48,-1.8,-0.08333333333333343,False
6.32,1.04,0.21798941798941796,1002.2333333333336,-1305.3402988215494,0.7407407407407405,0.2,-30.61058201058222,-1.0333333333333332,-74.20529100529166,1317.8000000000002,7.071957671957662,0.04,17.2,0.15000000000000002,True
-0.28,-3.0,0.5054803352675692,7928.7750000000015,-198.06645285270542,-0.7343649258542868,0.68,803.7904577691806,1.5,1388.4235976789168,7238.724999999999,43.76531270148293,0.56,13.64,0.125,False
-2.12,0.48,-0.406060606060606,7480.3600000000015,1100.9325411255427,2.6969696969696964,-0.48,-989.0909090909099,-4.440000000000001,-6021.315151515151,1172.8000000000002,-37.87878787878788,-1.36,-7.12,0.20000000000000007,True
-0.56,1.72,0.015384615384615385,2544.942857142858,533.952081701369,-0.4435897435897429,-0.4,-897.1333333333332,0.5523809523809522,-2028.3923076923093,-1551.6476190476205,-11.412820512820502,-0.44,-9.48,0.01904761904761898,True
-0.36,0.08,0.12000000000000002,-5524.4000000000015,-1288.3595753717195,-0.39999999999999947,0.36,143.92000000000007,0.13333333333333197,283.5599999999977,-689.2666666666664,16.92,0.92,10.52,-0.009523809523809434,True
-16.2,2.24,-0.24,1052.8857142857123,318.50347739561767,0.4800000000000004,-1.12,-892.2399999999998,-0.10476190476190439,3494.4799999999996,-2342.8476190476194,-67.24000000000001,-1.84,-5.16,0.04761904761904773,True
4.08,-0.84,-0.040000000000000036,4998.4,-787.6906190476193,-0.6800000000000006,0.12,-1965.9599999999991,2.7599999999999993,-3658.8399999999983,4062.3600000000006,-34.839999999999996,-1.28,9.36,-0.12,False
14.92,6.16,-0.06896551724137931,-2402.971428571429,-335.9552215245076,-0.7241379310344822,-0.16,1221.310344827587,3.209523809523809,371.7586206896558,-1958.52380952381,-41.689655172413794,0.24,3.8,1.1102230246251565e-16,False
4.8,-1.44,-0.08000000000000002,-8488.48,509.7507469785123,-1.0,-0.24,-713.4800000000014,-0.9600000000000009,-325.4400000000005,-5984.599999999999,-1.2000000000000028,-1.56,10.64,0.07999999999999996,False
